order_id,date,product,category,price,quantity
1001,2024-01-01,Clavier,Informatique,29.99,3
1002,2024-01-01,Souris,Informatique,19.99,2
1003,2024-01-01,Casque Audio,Multimédia,59.99,1
1004,2024-01-02,Clé USB,Informatique,9.99,5
1005,2024-01-02,Webcam,Multimédia,79.99,1
1006,2024-01-02,Disque Dur,Informatique,89.99,2
"1007,2024-01-03,Écran 24"",Informatique,149.99,1"
1008,2024-01-03,Chargeur USB,Accessoires,14.99,3
1009,2024-01-03,Batterie Externe,Accessoires,24.99,2
1010,2024-01-04,PC Portable,Informatique,799.99,1
1011,2024-01-04,Souris Gaming,Informatique,39.99,1
1012,2024-01-04,Clavier Mécanique,Informatique,59.99,1
1013,2024-01-05,Routeur Wi-Fi,Informatique,49.99,1
"1014,2024-01-05,Tablette 10"",Multimédia,199.99,1"
1015,2024-01-05,Support Laptop,Accessoires,22.99,2
1016,2024-01-06,Smartphone,Multimédia,599.99,1
1017,2024-01-06,Airpods,Multimédia,149.99,1
1018,2024-01-06,Câble HDMI,Accessoires,7.99,3
1019,2024-01-07,HDD 1To,Informatique,54.99,1
1020,2024-01-07,SSD 512Go,Informatique,79.99,1
1021,2024-01-07,Hub USB 3.0,Accessoires,12.99,2
1022,2024-01-08,Clavier,Informatique,29.99,1
1023,2024-01-08,Souris,Informatique,19.99,1
1024,2024-01-08,Microphone USB,Multimédia,39.99,1
1025,2024-01-09,Webcam HD,Multimédia,59.99,1
1026,2024-01-09,Clé USB,Informatique,9.99,4
"1027,2024-01-09,Écran 27"",Informatique,189.99,1"
1028,2024-01-10,Enceinte Bluetooth,Multimédia,49.99,1
1029,2024-01-10,Chargeur USB,Accessoires,14.99,1
1030,2024-01-10,Batterie Externe,Accessoires,24.99,1
1031,2024-01-11,PC Portable,Informatique,849.99,1
1032,2024-01-11,Souris Gaming,Informatique,39.99,2
1033,2024-01-11,Clavier Mécanique,Informatique,69.99,1
1034,2024-01-12,Routeur Wi-Fi,Informatique,54.99,1
"1035,2024-01-12,Tablette 10"",Multimédia,199.99,1"
1036,2024-01-12,Support Laptop,Accessoires,22.99,1
1037,2024-01-13,Smartphone,Multimédia,629.99,1
1038,2024-01-13,Airpods,Multimédia,149.99,1
1039,2024-01-13,Câble USB-C,Accessoires,9.99,2
1040,2024-01-14,HDD 2To,Informatique,74.99,1
1041,2024-01-14,SSD 1To,Informatique,119.99,1
1042,2024-01-14,Hub USB-C,Accessoires,17.99,1
1043,2024-01-15,Clavier,Informatique,29.99,2
1044,2024-01-15,Souris,Informatique,19.99,2
1045,2024-01-15,Microphone USB,Multimédia,39.99,1
1046,2024-01-16,Webcam Full HD,Multimédia,69.99,1
1047,2024-01-16,Clé USB,Informatique,9.99,3
"1048,2024-01-16,Écran 24"",Informatique,149.99,1"
1049,2024-01-17,Enceinte Bluetooth,Multimédia,49.99,2
1050,2024-01-17,Chargeur USB,Accessoires,14.99,2
1051,2024-01-17,Batterie Externe,Accessoires,24.99,1
1052,2024-01-18,PC Portable,Informatique,799.99,1
1053,2024-01-18,Souris Gaming,Informatique,39.99,1
1054,2024-01-18,Clavier Mécanique,Informatique,59.99,1
1055,2024-01-19,Routeur Wi-Fi,Informatique,49.99,1
"1056,2024-01-19,Tablette 10"",Multimédia,199.99,1"
1057,2024-01-19,Support Laptop,Accessoires,22.99,1
1058,2024-01-20,Smartphone,Multimédia,599.99,1
1059,2024-01-20,Airpods,Multimédia,149.99,1
1060,2024-01-20,Câble HDMI,Accessoires,7.99,2
1061,2024-01-21,HDD 1To,Informatique,54.99,1
1062,2024-01-21,SSD 512Go,Informatique,79.99,1
1063,2024-01-21,Hub USB 3.0,Accessoires,12.99,1
1064,2024-01-22,Clavier,Informatique,29.99,1
1065,2024-01-22,Souris,Informatique,19.99,1
1066,2024-01-22,Microphone USB,Multimédia,39.99,1
1067,2024-01-23,Webcam HD,Multimédia,59.99,1
1068,2024-01-23,Clé USB,Informatique,9.99,4
"1069,2024-01-23,Écran 27"",Informatique,189.99,1"
1070,2024-01-24,Enceinte Bluetooth,Multimédia,49.99,1
1071,2024-01-24,Chargeur USB,Accessoires,14.99,2
1072,2024-01-24,Batterie Externe,Accessoires,24.99,1
1073,2024-01-25,PC Portable,Informatique,849.99,1
1074,2024-01-25,Souris Gaming,Informatique,39.99,2
1075,2024-01-25,Clavier Mécanique,Informatique,69.99,1
1076,2024-01-26,Routeur Wi-Fi,Informatique,54.99,1
"1077,2024-01-26,Tablette 10"",Multimédia,199.99,1"
1078,2024-01-26,Support Laptop,Accessoires,22.99,1
1079,2024-01-27,Smartphone,Multimédia,629.99,1
1080,2024-01-27,Airpods,Multimédia,149.99,1
1081,2024-01-27,Câble USB-C,Accessoires,9.99,2
1082,2024-01-28,HDD 2To,Informatique,74.99,1
1083,2024-01-28,SSD 1To,Informatique,119.99,1
1084,2024-01-28,Hub USB-C,Accessoires,17.99,1
1085,2024-01-29,Clavier,Informatique,29.99,2
1086,2024-01-29,Souris,Informatique,19.99,2
1087,2024-01-29,Microphone USB,Multimédia,39.99,1
1088,2024-01-30,Webcam Full HD,Multimédia,69.99,1
1089,2024-01-30,Clé USB,Informatique,9.99,3
"1090,2024-01-30,Écran 24"",Informatique,149.99,1"
1091,2024-01-31,Enceinte Bluetooth,Multimédia,49.99,2
1092,2024-01-31,Chargeur USB,Accessoires,14.99,2
1093,2024-01-31,Batterie Externe,Accessoires,24.99,1
